Longitude,Latitude,Original_Pixel,Original_Scan,Transformed_Pixel,Transformed_Scan
27.7514807,-85.279005,0.0,0.0,-55.79,-124.78
27.7422006,-85.2793998,100.0,0.0,52.06,-111.52
27.7329191,-85.2797946,200.0,0.0,159.91,-98.26
27.7236362,-85.2801892,300.0,0.0,267.76,-84.99
27.7143521,-85.2805836,400.0,0.0,375.61,-71.73
27.7050666,-85.280978,500.0,0.0,483.47,-58.46
27.6957798,-85.2813721,600.0,0.0,591.32,-45.2
27.6864917,-85.2817662,700.0,0.0,699.17,-31.94
27.6772023,-85.2821601,800.0,0.0,807.02,-18.67
27.6679115,-85.2825539,900.0,0.0,914.87,-5.41
27.6586194,-85.2829475,1000.0,0.0,1022.72,7.86
27.649326,-85.2833411,1100.0,0.0,1130.57,21.12
27.6400313,-85.2837344,1200.0,0.0,1238.42,34.38
27.6307352,-85.2841277,1300.0,0.0,1346.27,47.65
27.6214379,-85.2845208,1400.0,0.0,1454.13,60.91
27.6121392,-85.2849137,1500.0,0.0,1561.98,74.18
27.6028391,-85.2853066,1600.0,0.0,1669.83,87.44
27.5935378,-85.2856993,1700.0,0.0,1777.68,100.7
27.5842351,-85.2860918,1800.0,0.0,1885.53,113.97
27.5749311,-85.2864843,1900.0,0.0,1993.38,127.23
27.5656258,-85.2868765,2000.0,0.0,2101.23,140.5
27.5563192,-85.2872687,2100.0,0.0,2209.08,153.76
27.5470112,-85.2876607,2200.0,0.0,2316.93,167.02
27.537702,-85.2880526,2300.0,0.0,2424.79,180.29
27.5283914,-85.2884443,2400.0,0.0,2532.64,193.55
27.5190795,-85.288836,2500.0,0.0,2640.49,206.82
27.5097662,-85.2892274,2600.0,0.0,2748.34,220.08
