Longitude,Latitude,Pixel,Scan
27.7514807,-85.279005,0,0
27.7422006,-85.2793998,100,0
27.7329191,-85.2797946,200,0
27.7236362,-85.2801892,300,0
27.7143521,-85.2805836,400,0
27.7050666,-85.280978,500,0
27.6957798,-85.2813721,600,0
27.6864917,-85.2817662,700,0
27.6772023,-85.2821601,800,0
27.6679115,-85.2825539,900,0
27.6586194,-85.2829475,1000,0
27.649326,-85.2833411,1100,0
27.6400313,-85.2837344,1200,0
27.6307352,-85.2841277,1300,0
27.6214379,-85.2845208,1400,0
27.6121392,-85.2849137,1500,0
27.6028391,-85.2853066,1600,0
27.5935378,-85.2856993,1700,0
27.5842351,-85.2860918,1800,0
27.5749311,-85.2864843,1900,0
27.5656258,-85.2868765,2000,0
27.5563192,-85.2872687,2100,0
27.5470112,-85.2876607,2200,0
27.537702,-85.2880526,2300,0
27.5283914,-85.2884443,2400,0
27.5190795,-85.288836,2500,0
27.5097662,-85.2892274,2600,0
